headline,url,title
‘A Secret Love’ Review: A Lesbian Couple’s Enduring Affection,https://www.nytimes.com/2020/04/29/movies/a-secret-love-review.html,A Secret Love Review
‘Love Wedding Repeat’ Review: A Tumble Down the Aisle,https://www.nytimes.com/2020/04/10/movies/love-wedding-repeat-review-a-tumble-down-the-aisle.html,Love Wedding Repeat Review
"‘Almost Love’ Review: Schooled in Romance, but Missing Class",https://www.nytimes.com/2020/04/02/movies/almost-love-review.html,Almost Love Review
‘Hope Gap’ Review: A Thin Line Between Love and War,https://www.nytimes.com/2020/03/05/movies/hope-gap-review-a-thin-line-between-love-and-war.html,Hope Gap Review
‘All the Bright Places’ Review: Love Amid Trauma,https://www.nytimes.com/2020/02/28/movies/all-the-bright-places-review.html,All the Bright Places Review
‘The Photograph’ Review: An Unabashedly Old-School Love Story,https://www.nytimes.com/2020/02/13/movies/the-photograph-review.html,The Photograph Review
‘You Go to My Head’ Review: Untrue Love,https://www.nytimes.com/2020/02/13/movies/you-go-to-my-head-review.html,You Go to My Head Review
‘Ordinary Love’ Review: In Sickness and in Health,https://www.nytimes.com/2020/02/12/movies/ordinary-love-review.html,Ordinary Love Review
"‘To All the Boys: P.S. I Still Love You’ Review: Bliss, for Now",https://www.nytimes.com/2020/02/11/movies/to-all-the-boys-ps-i-still-love-you-review.html,To All the Boys: P.S. I Still Love You Review
‘The Woman Who Loves Giraffes’ Review: Crackers for Animals,https://www.nytimes.com/2020/01/09/movies/the-woman-who-loves-giraffes-review.html,The Woman Who Loves Giraffes Review
‘Queen & Slim’ Review: Love on the Run,https://www.nytimes.com/2019/11/26/movies/queen-and-slim-review.html,Queen & Slim Review
‘Marriage Story’ Review: Dance Me to the End of Love,https://www.nytimes.com/2019/11/05/movies/marriage-story-review.html,Marriage Story Review
"‘Cyrano, My Love’ Review: A Nose for Romance",https://www.nytimes.com/2019/10/17/movies/cyrano-my-love-review.html,"Cyrano, My Love Review"
"‘Pretenders’ Review: A Little New Wave Love, a Lot of Misogyny",https://www.nytimes.com/2019/10/03/movies/pretenders-review.html,Pretenders Review
‘First Love’ Review: Eluding Assassins With the Help of a Boxer,https://www.nytimes.com/2019/09/26/movies/first-love-review.html,First Love Review
"‘Loro’ Review: A Corrupt Leader, and the People Who Love Him",https://www.nytimes.com/2019/09/19/movies/loro-review.html,Loro Review
‘Falling Inn Love’ Review: A Prize That Needs Some Work,https://www.nytimes.com/2019/08/29/movies/falling-inn-love-review.html,Falling Inn Love Review
‘Hot Air’ Review: A Right-Wing Radio Host Learns to Love Again,https://www.nytimes.com/2019/08/22/movies/hot-air-review.html,Hot Air Review
"‘Love, Antosha’ Review: A Heartbreaking Look at an Actor’s Too-Short Life",https://www.nytimes.com/2019/08/08/movies/love-anthosa-review.html,"Love, Antosha Review"
‘Leto’ Review: Love and Rock in Leningrad,https://www.nytimes.com/2019/06/06/movies/leto-review.html,Leto Review
‘The Tomorrow Man’ Review: Love Among the Neuroses,https://www.nytimes.com/2019/05/21/movies/the-tomorrow-man-review.html,The Tomorrow Man Review
‘Asako I & II’ Review: Double the Love (and the Heartbreak),https://www.nytimes.com/2019/05/16/movies/asako-i-and-ii-review.html,Asako I & II Review
"‘The Sun Is Also a Star’ Review: A Charming, if Generic, Adolescent Love Story",https://www.nytimes.com/2019/05/15/movies/the-sun-is-also-a-star-review.html,The Sun Is Also a Star Review
‘Shéhérazade’ Review: Love in the Mean Streets of Marseille,https://www.nytimes.com/2019/05/10/movies/sheherazade-review.html,Shéhérazade Review
‘Long Shot’ Review: Charlize Theron and Seth Rogen Give Good Heart,https://www.nytimes.com/2019/05/02/movies/long-shot-review.html,Long Shot Review
‘Clara’ Review: Love Means Never Having to Say You’re Starry,https://www.nytimes.com/2019/05/02/movies/clara-review.html,Clara Review
‘Kalank’ Review: A Bollywood Love Story in the Shadow of Partition,https://www.nytimes.com/2019/04/19/movies/kalank-review.html,Kalank Review
"‘Rafiki’ Review: Falling in Love, Illegally",https://www.nytimes.com/2019/04/18/movies/rafiki-review.html,Rafiki Review
"‘Diane’ Review: A Vibrant Tale of Love, Sisterhood and Decline",https://www.nytimes.com/2019/03/28/movies/diane-review.html,Diane Review
‘Five Feet Apart’ Review: Ailing Teenagers Live Dangerously for Love,https://www.nytimes.com/2019/03/14/movies/five-feet-apart-review.html,Five Feet Apart Review
‘Ash Is Purest White’ Review: Love Smolders and Crime Pays in a Changing China,https://www.nytimes.com/2019/03/13/movies/ash-is-purest-white-review.html,Ash Is Purest White Review
‘Gloria Bell’ Review: Love Is in the Air for a Transcendent Julianne Moore,https://www.nytimes.com/2019/03/07/movies/gloria-bell-review.html,Gloria Bell Review
‘Black Mother’ Review: Exploring the Roots of Life Itself,https://www.nytimes.com/2019/03/06/movies/black-mother-review.html,Black Mother Review
‘The Hole in the Ground’ Review: A Horror Film Is Suffocated by a Mother’s Love,https://www.nytimes.com/2019/02/28/movies/the-hole-in-the-ground-review.html,The Hole in the Ground Review
‘How to Train Your Dragon: The Hidden World’ Review: A Series Scales Up,https://www.nytimes.com/2019/02/20/movies/how-to-train-your-dragon-hidden-world-review.html,How to Train Your Dragon: The Hidden World Review
